date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:01:10	3404/3404	---M-Z	200	added ('OK')	application/javascript	etag:%2265f7ca58-2a1%22	https://c2.cdn1tp.net/e6a0a525c7814332b68eb4ba022c3c74/js/selectedCard.js	C:/Users/Administrador/Desktop/C1/qzm/c2.cdn1tp.net/e6a0a525c7814332b68eb4ba022c3c74/js/selectedCard.js	(from https://noticiasde2024.fun/quiz/)
18:01:10	442/442	---M-Z	200	added ('OK')	application/javascript	etag:%2265f7ca58-f6%22	https://c2.cdn1tp.net/e6a0a525c7814332b68eb4ba022c3c74/js/selectedResponse.js	C:/Users/Administrador/Desktop/C1/qzm/c2.cdn1tp.net/e6a0a525c7814332b68eb4ba022c3c74/js/selectedResponse.js	(from https://noticiasde2024.fun/quiz/)
18:01:10	1946/1946	---M-Z	200	added ('OK')	application/javascript	etag:%2265f7ca58-1ef%22	https://c2.cdn1tp.net/e6a0a525c7814332b68eb4ba022c3c74/js/buttonCheck.js	C:/Users/Administrador/Desktop/C1/qzm/c2.cdn1tp.net/e6a0a525c7814332b68eb4ba022c3c74/js/buttonCheck.js	(from https://noticiasde2024.fun/quiz/)
18:01:10	375/375	---M-Z	200	added ('OK')	application/javascript	etag:%2265f7ca57-95%22	https://c2.cdn1tp.net/e6a0a525c7814332b68eb4ba022c3c74/js/popup.js	C:/Users/Administrador/Desktop/C1/qzm/c2.cdn1tp.net/e6a0a525c7814332b68eb4ba022c3c74/js/popup.js	(from https://noticiasde2024.fun/quiz/)
18:01:11	1919/1919	---M-Z	200	added ('OK')	application/javascript	etag:%2265f7ca57-1ce%22	https://c2.cdn1tp.net/e6a0a525c7814332b68eb4ba022c3c74/js/sendResponse.js	C:/Users/Administrador/Desktop/C1/qzm/c2.cdn1tp.net/e6a0a525c7814332b68eb4ba022c3c74/js/sendResponse.js	(from https://noticiasde2024.fun/quiz/)
18:01:11	47992/47992	---M-Z	200	added ('OK')	application/javascript	etag:%2265f7ca57-3c76%22	https://c2.cdn1tp.net/e6a0a525c7814332b68eb4ba022c3c74/js/crypto-js.min.js	C:/Users/Administrador/Desktop/C1/qzm/c2.cdn1tp.net/e6a0a525c7814332b68eb4ba022c3c74/js/crypto-js.min.js	(from https://noticiasde2024.fun/quiz/)
18:01:11	56169/56169	---M-Z	200	added ('OK')	application/javascript	etag:%2265f7ca58-47db%22	https://c2.cdn1tp.net/e6a0a525c7814332b68eb4ba022c3c74/js/googletagmanager.js	C:/Users/Administrador/Desktop/C1/qzm/c2.cdn1tp.net/e6a0a525c7814332b68eb4ba022c3c74/js/googletagmanager.js	(from https://noticiasde2024.fun/quiz/)
18:01:12	56169/56169	---M-Z	200	added ('OK')	application/javascript	etag:%2265d0283a-47db%22	https://c1.cdn1tp.net/ghelper/googletagmanager.js	C:/Users/Administrador/Desktop/C1/qzm/c1.cdn1tp.net/ghelper/googletagmanager.js	(from https://noticiasde2024.fun/quiz/)
18:01:12	162/162	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2021%20Mar%202024%2021:01:36%20GMT	https://c2.cdn1tp.net/e6a0a525c7814332b68eb4ba022c3c74/css2.css	C:/Users/Administrador/Desktop/C1/qzm/c2.cdn1tp.net/e6a0a525c7814332b68eb4ba022c3c74/css2.css	(from https://c2.cdn1tp.net/e6a0a525c7814332b68eb4ba022c3c74/css/style.css)
18:01:12	2538/2538	---M--	200	added ('OK')	image/png	etag:%2265f7c38f-9ea%22	https://c2.cdn1tp.net/e6a0a525c7814332b68eb4ba022c3c74/images/bg__header--mob.png	C:/Users/Administrador/Desktop/C1/qzm/c2.cdn1tp.net/e6a0a525c7814332b68eb4ba022c3c74/images/bg__header--mob.png	(from https://c2.cdn1tp.net/e6a0a525c7814332b68eb4ba022c3c74/css/style.css)
18:01:13	9379/9379	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2021%20Mar%202024%2021:01:37%20GMT	https://noticiasde2024.fun/quiz/a	C:/Users/Administrador/Desktop/C1/qzm/noticiasde2024.fun/quiz/a	(from https://connect.facebook.net/en_US/fbevents.js)
18:01:13	9379/9379	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2021%20Mar%202024%2021:01:37%20GMT	https://noticiasde2024.fun/quiz/POST	C:/Users/Administrador/Desktop/C1/qzm/noticiasde2024.fun/quiz/POST	(from https://connect.facebook.net/en_US/fbevents.js)
18:01:13	9379/9379	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2021%20Mar%202024%2021:01:37%20GMT	https://noticiasde2024.fun/quiz/b.resolvedLink	C:/Users/Administrador/Desktop/C1/qzm/noticiasde2024.fun/quiz/b.resolvedLink	(from https://connect.facebook.net/en_US/fbevents.js)
18:01:14	9379/9379	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2021%20Mar%202024%2021:01:38%20GMT	https://noticiasde2024.fun/signals/iwl.js	C:/Users/Administrador/Desktop/C1/qzm/noticiasde2024.fun/signals/iwl.js	(from https://connect.facebook.net/en_US/fbevents.js)
18:01:14	9379/9379	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2021%20Mar%202024%2021:01:38%20GMT	https://noticiasde2024.fun/quiz/schema.org/	C:/Users/Administrador/Desktop/C1/qzm/noticiasde2024.fun/quiz/schema.org/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
